id,video_id,title,url,downloaded_comment_count,comment_file_found,invalid_comment_lines
794,2c7d9c6ail8,Ranking Natural Disaster Roblox Moments!,https://www.youtube.com/watch?v=2c7d9c6ail8,0,no,0
792,2FaqNSLGkwg,Andrew Schulz Calls Out Logan Paul After WWE 👀,https://www.youtube.com/watch?v=2FaqNSLGkwg,0,no,0
770,1Lvtg8giPaw,Theo Von Crosses The Line?!?🤣🤣🤣#theovon #garysinise #thispastweekend #comedy #funny,https://www.youtube.com/watch?v=1Lvtg8giPaw,0,no,0
739,0CW9bp9D4rU,"Not all guys, just some #wlw #lgbt #Youtube#Pov#funny#shorts",https://www.youtube.com/watch?v=0CW9bp9D4rU,0,no,0
732,03gB6f3ktBc,,,0,no,0
2104,03gB6f3ktBc,,,0,no,0
709,-PSvajMLAmE,Andrew Schulz Debates Lebron vs Michael Jordan 👀,https://www.youtube.com/watch?v=-PSvajMLAmE,0,no,0
704,-7h6mmlUnGU,Ranking Best Trevor Rizz Moments🔥,https://www.youtube.com/watch?v=-7h6mmlUnGU,0,no,0
701,-3_ztN-2zhw,PARAMOUNT STUDIO CAKE David Dobrik Snapchat,https://www.youtube.com/watch?v=-3_ztN-2zhw,0,no,0
697,-0UhSHd3a7k,Top 5 Funniest 'Gender Reveal' Ever. #funny #genderreveal #shorts,https://www.youtube.com/watch?v=-0UhSHd3a7k,0,no,0
