video_id,dataset_row_id,humor_bucket,comments_scored,sentiment_negative,sentiment_neutral,sentiment_positive,identity_attack,insult,obscene,severe_toxicity,threat,toxicity,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_neutral,emotion_sadness,emotion_surprise
-xEw-SdaVJ0,1,dark_humor,31,0.46536620000317214,0.20769678473833106,0.3269370166554807,0.04639970898936172,0.09663579416237847,0.1320822651590964,0.013626158569100117,0.0014833717577857897,0.30235238778667767,0.13348805023950613,0.2272200026763453,0.013979609678274081,0.09036705262523385,0.31289234574163155,0.09466252147760842,0.12739040903867252
0-gqH-SUkAM,731,regular_humor,31,0.09541251178410265,0.2783597914141513,0.6262277022845322,0.0005758947668401825,0.003468666450522329,0.008523036251238908,0.00021058250211119172,0.00020825796602894702,0.04615947999615943,0.08335372416542904,0.03820880488567655,0.04522350573191239,0.19245747246238734,0.5165998353172214,0.08206496493620498,0.04209168880967604
03mf2ncf1ok,733,dark_humor,27,0.5478687529555626,0.36442680436152,0.08770442195236683,0.0004986246155264477,0.030372797203771944,0.04681416277297238,0.0037599024896432334,0.00027743451479451595,0.13646485824439744,0.13918365567439683,0.2005586576027175,0.035711544725388567,0.010614010048340316,0.32518012250808104,0.11828109953138563,0.17047090030758194
06djulJUjp4,734,not_humor,31,0.3142249345659248,0.4071692334067437,0.2786058435336717,0.07389452282692335,0.09897586048182641,0.1450780420789435,0.01657915945965684,0.005570797902163899,0.3045756031999425,0.10282353217142724,0.1346779243171876,0.025469521668949915,0.035430767209148936,0.3770920433584721,0.0733795374286391,0.2511266812742237
07MpHFgau7M,735,dark_humor,29,0.45870514511098637,0.3622959221488443,0.17899893479550194,0.0008193811322441967,0.017777321026218925,0.05809435835519629,0.0012355978233872206,0.0008341590924076093,0.1392407757992824,0.16710691638933173,0.17207023184264786,0.02286946740611617,0.037106324976775795,0.37242229218626843,0.07851756712550233,0.14990718005995812
09ZNs0xIHjA,736,regular_humor,31,0.21485687110332713,0.4193557618906902,0.36578737667972044,0.01070988374891796,0.035974558433912125,0.0646181597079586,0.007223300965814551,0.0004370125304464431,0.1209503031831475,0.08103598498423854,0.07179913702120463,0.03579141509967045,0.17075778526299062,0.4100840572688368,0.06221886248057408,0.16831274998314197
0B6EfTKe1fg,737,regular_humor,31,0.3472059060248636,0.4476082347814114,0.2051858503010965,0.0013025735257073275,0.031917974933974386,0.07161573024472266,0.0017492917843722558,0.0019222423119748372,0.1580627659681223,0.12206984780007793,0.06096171748433863,0.07373322475881826,0.04660256905481219,0.4482479745582227,0.06759282447878391,0.18079182844338637
0BJvW88XxhM,738,not_humor,31,0.2740811590676106,0.3262444514661066,0.3996743845543073,0.0003727659876007707,0.0024139399029081687,0.0062474137342970575,0.00019958121218575884,0.00033854588752635004,0.05036887174074148,0.09454809060140003,0.031640661407202,0.07857790374903069,0.17116698001195946,0.39651630007691924,0.11190869460152762,0.1156413683127011
0GAt7ofK7qA,740,regular_humor,5,0.36242384761571883,0.5263429164886475,0.11123322490602731,0.0004023385467007756,0.004179626915720292,0.004161663330160081,0.00018411419150652364,0.00020527594460872933,0.05515901587205008,0.2685412049293518,0.04125335030257702,0.017833567736670376,0.007944282947573812,0.5620808985084296,0.016512345941737294,0.08583434852771461
0L94fuX-4O0,741,not_humor,31,0.32443065175245844,0.32595875501752863,0.34961058848327203,0.004297814555860485,0.03322307972590469,0.04767023407123728,0.0054475706126522125,0.0005014618349847414,0.12786860913864426,0.03194307996666119,0.17333832929181237,0.027161541629597667,0.20646828519285568,0.26850120089347324,0.10279506870785789,0.1897924930240298
0Llq_ZTIVg4,742,regular_humor,31,0.24591266352593177,0.25224650065384563,0.5018408236153904,0.03252654533453977,0.061248660585167064,0.08103936614521269,0.0024901848275124304,0.001901606254367864,0.24321339535902464,0.08837420876408296,0.14566520637562197,0.023153817480159624,0.14680605780919112,0.43724899321433996,0.031039803803357625,0.12771191140599247
0N8DVD82Lc0,743,dark_humor,18,0.3379999703934623,0.30549399834126234,0.3565060216416087,0.010981183649467615,0.05204098714764566,0.027329638243019063,0.0009788804317294206,0.0003327012353919498,0.12966467954619373,0.02337731098264663,0.021983638185904257,0.06324501578799552,0.19236770047832075,0.36820090075747836,0.20908268838603464,0.12174276437144727
0NaKJ9KM6Iw,744,regular_humor,31,0.4795586528752239,0.35095823520133573,0.1694831126820176,0.013143369508343898,0.0329536501855229,0.08620941419353438,0.013108563150566507,0.0006364561847857981,0.1443913363581223,0.11341895586660793,0.20357241562282247,0.03749576558907246,0.08683750731119465,0.28171452086028315,0.024590339391462265,0.2523705024505034
0QPX-nOQRis,745,not_humor,31,0.2789259934948096,0.2983658415295424,0.42270815968813913,0.0005528520822765365,0.02624578091490548,0.03339050208535722,0.0127983964189151,0.0003713380539275315,0.062372162386084035,0.0883627685703217,0.11991067961489241,0.08470397037191076,0.09977134628852288,0.3756190409222918,0.08286926569417119,0.14876292580588452
0RLDoJSjdDM,746,dark_humor,31,0.4805529040449689,0.26007248893860846,0.2593746045454135,0.012381116935660342,0.050114602187550775,0.03540057669376819,0.0009456000660711359,0.0008754509319494959,0.14969443883972183,0.18932659425322088,0.08429460455813716,0.04465418866264724,0.205377634856925,0.2678698448824786,0.07861846825859,0.12985866145050573
0Shj0TCfHUg,747,not_humor,31,0.15357594021535928,0.3311020119055625,0.5153220544659323,0.00027957967963189846,0.0009360448809363129,0.00104140410821269,0.00013826906562767802,0.00019397064780576095,0.02843632899044502,0.047628992552598635,0.05454076152490152,0.0548433096884119,0.11217188532088673,0.592894850418933,0.07169896122368594,0.06622122350944987
0Xb5UOT5_7g,748,dark_humor,31,0.3060576498223048,0.4310073709535983,0.2629349769934291,0.07366598341069484,0.07670286932637194,0.08387162717765258,0.019100539243804487,0.0016330936573907703,0.1741026732113002,0.1246134532735713,0.10915866744283947,0.026436446730287805,0.09094314441655672,0.5151347896504787,0.049922403038269086,0.08379109230853858
0YYLWKpPxbg,749,regular_humor,31,0.18586679192770633,0.22359629824096638,0.5905369030191533,0.006785039756646109,0.03189411729239979,0.045044921041417475,0.001592541837805672,0.0006771569983797117,0.09820344847168834,0.04801134103834028,0.09487423452083021,0.009055659257536453,0.1893086783651773,0.3786981096115684,0.13853041582079906,0.14152157224429351
0qOZ6XTklPc,753,regular_humor,31,0.5132090891861627,0.31640252651226136,0.1703883932542897,0.01182272709012332,0.08090178877952689,0.07945236321510522,0.004733312656518988,0.018153518555693388,0.23057961818243888,0.2085590939367971,0.1716886244962112,0.03891464952574743,0.031937654109506476,0.35129602945169375,0.054324147344056155,0.14327979278976039
0r8Qqab4duU,754,regular_humor,31,0.29830304989891665,0.5312824434330387,0.17041450306292502,0.0005260672154573483,0.020998508639393315,0.08767448969639748,0.008431793149464928,0.0015012865692223122,0.1277233971951289,0.17348137642106704,0.07214354179168661,0.020422241297520457,0.07047462477273639,0.4997724586526953,0.07561292958956572,0.08809284591716865
0r9YXTScWB0,755,regular_humor,31,0.2869781969836162,0.5445820381564479,0.16843976567108784,0.0025155701840694454,0.01588376775532285,0.006989612287255905,0.0005259413528913301,0.006087381714033038,0.09165679750543448,0.08681048063801662,0.07318529249319146,0.10044857376675692,0.059555200728467636,0.5054253864612791,0.08297376273079746,0.09160130308760751
0tJTPCMZeNc,757,regular_humor,31,0.24202071864818853,0.5028201316994044,0.2551591540536573,0.0008159228135839164,0.020930746380585216,0.03568456185025899,0.007781101979133147,0.0006240916547774818,0.08091942846001457,0.1021580769935803,0.026411931390964215,0.009520765662478704,0.1808239798729999,0.47729147805441774,0.058058945139149026,0.1457348348602893
